ironbow,white_hot,black_hot,rainbow,hog,mellow_yellow
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0083ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff007fff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff007bff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0077ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0073ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff006fff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff006bff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0067ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0063ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff005fff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff005bff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0057ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0053ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff004fff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff004bff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0047ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0043ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff003fff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff003bff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0037ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0033ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff002fff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff002bff,0xff0c10fa,0xff88e1e7
